type,text,listPrice,sqft,beds,baths_full_calc,stories,garage
single_family,"This could be the opportunity you have been waiting for to own your own home. Solid 3 bedroom, 1.5 bath raised ranch with walkout basement area just waiting to be finished. Spacious lot perfect for gardens and play. Needs some work but at this price you can't really go wrong. Cash or rehab loan only. What are you waiting for?",174000,1248,3,1,1,2
single_family,"Rich in history and completely renovated within the last five years, this beautifully updated 3-bedroom, 2-bath Cape blends timeless charm with modern comfort in the heart of Alstead. Leading into the home, you'll find an oversized heated porch - the perfect space for a mudroom, cozy sitting area, or a relaxing spot to enjoy your morning coffee year-round. The kitchen welcomes you with a large island, ideal for entertaining, gathering with guests, or having the space you need for everyday meal preparation. The spacious dining room makes hosting friends and family for holidays and special gatherings effortless. The first-floor primary suite easily accommodates a king-sized bed and features a luxury bathroom, creating a comfortable and private retreat. Upstairs, the finished attic space offers incredible flexibility perfect for a game room, play area, home office, or bedroom - along with ample storage. Set on over 5 acres with a cleared path leading to a private open level area ideal for recreation, outdoor entertaining, or simply enjoying the peaceful setting. Located in the village yet offering privacy and acreage, this thoughtfully updated property is a rare opportunity to enjoy small-town living with modern updates already completed. Join us Saturday 3/7 from 11AM-1PM for an Open House.",419900,2172,3,2,2,1
single_family,"Welcome to this treasure of a historic gem! Imagine living in part of the old train station from Newton! The ticketing station was moved to where it sits now and the home was built onto it. What a wonderful thing piece of history! Walk through the 5.7 acres with at approximately 3 acres of woods with wildlife that is often seen in the morning grazing. Note: trailer leaves by closing. Home is being sold ""AS IS"". There is a large barn on the property pre-approved for an ADU. Barn has good bones but need a lot of tlc to return it to glory. But this a huge bonus! Newly renovated Kitchen and Bathroom with beautiful quartz counters! New Electrical system, New Furnace, New Flooring, and a New Hot Water Heater. Open House Sat. 2/28 from 11:30-1p",489900,1809,2,1,1,2
single_family,"Turnkey living in the heart of Peterborough. This beautifully maintained Cape-style home offers four bedrooms and two full baths set on 1.1 acres in a desirable cul-de-sac neighborhood just minutes from downtown. At the center of the home is a stunning updated kitchen that opens seamlessly to the main living spaces, creating an inviting layout ideal for everyday living and entertaining. Hardwood floors, abundant natural light, and thoughtful updates throughout make the home feel both warm and refreshed. A practical and spacious mudroom connects to the attached one-car garage, providing convenient everyday entry. The finished lower level offers excellent bonus space perfect for a rec room, movie nights, hobbies, or a home office. Ample flex spaces make working from home easy, while the unfinished portion of the basement provides additional storage. Outside, the property offers plenty of room to enjoy the outdoors with a spacious yard, patio area, wrap around deck and even a tree house that adds a touch of charm. A convenient storage shed provides additional space for lawn equipment, tools, and outdoor gear. in a friendly cul-de-sac neighborhood ideal for walking, biking, and outdoor play, this home combines privacy and community while remaining just minutes from Peterborough's vibrant downtown. Enjoy easy access to MacDowell Lake, scenic trails, and the shops, restaurants, and cultural attractions of Depot Square.",449000,2104,4,2,2,1
single_family,"Newly reduced price! This is an as is sale. With renovation, this 3 bedroom 1 1/2 bath single family home can be upgraded to todays standards! Situated on a beautiful .55 acre lot. Featuring a spacious sun room and a large living room with full bathroom on first floor. One car garage and full basement-Metal roof-Private property with mountain view potential. Located close to town.",105000,800,3,1,2,1
single_family,"Opportunity of a lifetime! This rare, one-owner home includes a custom-built Ranch and an oversized/detached garage, formerly used as a custom cabinet shop, with a full 1,088 sq. ft. IN-LAW apartment above with its own address. The heated shop is a dream, offering approx. 1,700 sq. ft. of work space with 10 ft. ceilings, 2 overhead doors (one with a loading dock), 80 gal. piped compressor, half bath, and wired for a 2 post car lift and more! Two separate paved driveways provide privacy while a charming brick walkway connects both dwellings with ease. The main home exudes quality craftsmanship at every turn from the hand-crafted birchwood balusters to the high-end kitchen showcasing custom made cabinetry, butcher block counter tops, tiled backsplash, cathedral T&G ceiling--open to the bright and airy dining/living area showcasing a functional vintage wood stove. Pristine hardwood floors lead to the 3-season enclosed front porch, ideal for morning coffee or a good book. The main bath feels like a spa with its multi head step-in shower & claw-foot tub-both w/ soothing stone accents, tin ceiling, and custom-built vanity. Two generously sized bedrooms with mirrored closet doors complete the main level. The LL features a separate laundry room, guest/third bedroom with a private living room equipped with a cozy wood stove and half bath. Thoughtfully designed with superior woodwork throughout, this home shows exceptional craftsmanship you simply can't replicate. Solid Wood Doors, Mini Splits, Standby Generator, Brand NEW Vinyl Siding, cascading stone walls, and mature gardens complete the picture. Create your own homestead/family compound, enjoy abundant space for hobbies/projects, or potential use for rental income-many possibilities! *Total square footage/room count includes the main house AND detached In-Law Apt* Tucked away in a quaint small town, yet 15 minutes to shopping/restaurants, Rt. 93, and under 40 min to the Lakes Region for fun to be had in all four seasons!",599900,3328,4,2,1,3
single_family,"Welcome to 1 Stagecoach Drive- a spacious and beautifully maintained Cape set on a private 1.67-acre lot, offering the ideal combination of comfort, efficiency, and room to gather. With over 2,400 square feet of thoughtfully designed living space, this 3-bedroom, 2.5-bath home also features a versatile first-floor bonus room - perfect for a home office, playroom, or guest space. The inviting living room is anchored by a cozy pellet stove, creating a warm and welcoming focal point during the cooler months. Four energy-efficient mini-split systems are thoughtfully placed throughout the home, providing reliable, year-round heating and cooling. The functional kitchen flows effortlessly into the main living areas, making both everyday living and entertaining a breeze. Just off the kitchen, the bright three-season porch offers the perfect spot to host gatherings or unwind with your morning coffee while overlooking the peaceful backyard. Additional highlights include a two-car attached garage with ample storage and the privacy of a generous 1.67-acre lot - offering plenty of space to relax, play, and enjoy the outdoors. If you've been searching for space, flexibility, and a serene setting in Sandown, this exceptional Cape is ready to welcome you home. OPEN HOUSE SATURDAY 3/7/26 FROM 10:00AM-12:00PM.",585000,2473,3,2,2,2
single_family,"Welcome to this solidly built 2-bedroom, 1.5-bath Cape nestled in a desirable neighborhood close to hospitals, shopping, and everyday conveniences. This home offers timeless character and great bones, just waiting for your personal touch. Enjoy mornings with a cup of coffee or unwind in the evening on the screened-in porch overlooking the gorgeous yard - perfect for gardening, entertaining, or simply relaxing outdoors. Inside, you'll find a traditional layout with comfortable living spaces and plenty of potential to make it your own. The 1-car garage adds convenience, especially during New England winters. This home does need some TLC and is being sold as is, making it a fantastic opportunity for buyers looking to build equity or invest in a well-located property. Bring your vision and make this classic Cape shine again! Showings begin on March 4th. More photos to come.",299900,1200,2,1,2,1
townhomes,"Welcome to 520 Ocean Boulevard, ideally located in Hampton's premier Boar's Head neighborhood! Enjoy ocean accessibility and views of serene north beach AND south to the vibrant main beach as well as marsh views to the west! This beautiful townhome combines location, lifestyle, and peace of mind with no flood insurance or flood insurance fees required. Relax on your private balcony deck and take in the ocean breeze from this bright, airy home with an open concept living area perfect for entertaining or unwinding by the sea. Enjoy front row seats to the summer fireworks, or take a short walk to the sand of Hampton Beach recently named a top East Coast beach by Conde Nast. Set in a small community of just 11 units with low, affordable association fees, this is a unique opportunity to own in one of the Seacoast's most desirable locations. Don't miss this exceptional opportunity to be in one of Hampton's most desirable seaside spots. One dog or cat allowed. Parking for 2 cars, 1 in garage and 1 in driveway as well as guest parking. No renting is permitted.",599900,1263,2,1,3,1
single_family,"This season calls for a country home that keeps the chill at the door while welcoming the first signs of spring. This well-maintained custom reproduction Cape is tucked away on 12+ private acres on a quiet road with pleasant views of the southwestern hills in a picturesque setting. A spacious entryway leads to a comfortable family room with brick flooring, a wood stove, and a slider to the expansive deck and patio. The kitchen stands out as the heart of the home, with wood cabinetry, granite countertops, JennAir ovens, and a gas range. The bright dining and living room areas are designed for entertaining with attractive pine flooring and exposed beams. The second floor has a primary suite, with its own dedicated stairway, bespoke walk-in closets, a generous tiled shower, and dual granite-topped vanities. There are two additional bedrooms and a hallway bathroom. Winter is cozy with wood-burning and propane stoves, and central air to cool you in the summer. On-demand hot water and an efficient new Bryant furnace. The home also has solar power, with 10 years remaining on the lease, maintained by Tesla for optimal performance. Raised garden beds, workshop, two garages, and a chicken coop. The exterior features barnboard siding and antique nails, adding an authentic, handcrafted character to the home. Wooded trails wind through the property, perfect for hiking and horseback riding, offering a striking backdrop in all seasons. Come see this exceptional property and imagine it as your next home! Open House on Friday, March 6th from 12-3:00.",699000,2991,3,2,2,4
single_family,"Nestled in the heart of New Hampshire's sought-after Lakes Region, this charming Cape-style home blends classic New England character with thoughtful modern updates. Offering 4 bedrooms plus a dedicated office, there's plenty of space to live, work, and entertain. Step inside to find fresh interior paint throughout, a beautifully updated kitchen with modern finishes and new appliances, and three renovated bathrooms conveniently located on every level. The spacious, partially finished basement adds incredible versatility with new flooring, a full bathroom, and updated electrical including hookups for additional appliances and a portable generator-creating great potential for extended living space or in-law possibilities. Since the listing photos were taken, the basement walls and ceilings have also been completed, further enhancing the space. Major improvements including upgrading the entire house electrical service add functionality and peace of mind. Outside, the home sits on a generous lot perfect for relaxing, entertaining, or enjoying the outdoors. The oversized garage offers fantastic space for vehicles, hobbies, or storing all your Lakes Region toys, while the paved upper driveway adds convenience. Additional improvements include several energy-efficient replacement windows and a new front door. With numerous upgrades throughout, this move-in-ready home offers the perfect balance of charm, space, and modern comfort in one of New Hampshire's most desirable regions. This property is ready to impress! Showings begin Saturday, 3/7/26, at the Open House from 11:00 AM-1:00 PM, with an additional Open House on Sunday, 3/8/26, from 11:00 AM-1:00 PM.",529900,2083,4,2,2,4
single_family,"Welcome to 26 Harmony Road in Northwood, a truly special property that combines the beauty of lakeside living with the charm of one of New Hampshire's most sought-after towns. Located just minutes from Coe-Brown Northwood Academy, this home offers a lifestyle that feels like a year-round retreat. A charming private boardwalk leads you through the natural landscape to your own dock on Harvey Lake, large enough to accommodate a full-size pontoon boat, making it easy to spend long summer days cruising the lake, swimming, fishing, or simply enjoying the peaceful waterfront setting. Inside, the home features a bright open-concept layout with soaring cathedral ceilings, creating an airy and welcoming living space filled with natural light. The main living area flows seamlessly into the kitchen and dining spaces, making it perfect for entertaining or relaxing after a day on the water. The flexible floor plan includes a first-floor bedroom and full bath, ideal for guests or convenient one-level living. A practical mudroom provides the perfect drop zone for lake gear, boots, and coats. The finished basement with a built-in bar creates a fun and inviting entertainment area for gatherings, game nights, or watching the big game. Outside, a large deck overlooks the yard, where you'll also find a private putting green for practicing your short game or enjoying time outdoors with friends and family. Additional highlights include a detached two-car garage, generous outdoor space, and a property designed for both relaxation and recreation. Whether you're searching for a year-round home or the perfect New Hampshire lake escape, 26 Harmony Road offers a rare opportunity to enjoy private Harvey Lake access, space to entertain, and the relaxed Northwood lifestyle all in one exceptional property.",699999,1784,3,2,2,2
single_family,"A welcoming and commuter-friendly home that offers a blend of charm, comfort, and convenience. This property features beautiful hardwood floors that run throughout the main living areas, creating a warm and inviting atmosphere from the moment you step inside. With three well-sized bedrooms and two bathrooms, the layout supports both everyday living and comfortable hosting. This home's outdoor spaces add even more appeal as the backyard deck provides the perfect spot for grilling or relaxing. Downstairs, a finished room in the basement expands your living options, ideal for a home office, playroom, gym, or entertainment space. Located close to major commuter routes, this home makes travel to Nashua, Manchester, or Boston easy and efficient. Its proximity to restaurants, shopping, and local amenities adds everyday convenience, making it a great fit for anyone seeking both accessibility and comfort in Merrimack. Showings begin on 3/5/26.",480000,1528,3,2,1,1
single_family,"Wolfeboro, the ""Oldest Summer Resort In America"". Whether looking for a year round home or a second home for those getaways, this one checks off all the boxes. Truly a 4 Season location from winter to summer fun and everything in between. This beautiful Custom Built Home in 2007 along with the added 2 car garage and huge Custom Primary Suite above in 2012. Situated on a quiet dead end road with access to Crescent Lake, Deeded water/beach rights and boat slip, it doesn't get much better than this! Tucked back from the road with a Farmer's Porch perfect for morning coffee and afternoon drinks this Contemporary Style Home w/approx. 2,592 sq. ft. above grade living space, plus additional space in the lower level. Just over 20,000' lot, this home boasts 7 Rms/3 Bedrooms/2.5 Baths & 2 Car Heated Garage(24'x24'). Resort style backyard designed for outdoor entertaining w/Deck(s), Stone Patio, Fire Pit, Hot Tub, Outdoor Shower. First Floor, Beautiful wood floors throughout giving this home a cozy feel especially with the wood burning stove in the Family Room. Eat-in Kitchen w/Custom Maple Cabinets, Granite Counter tops ideal for all your needs & a Half Bath. Second Floor, has 2 generous Bedrooms, Large Full Bath & a Huge Primary Suite that is breath taking(A must see). 2nd floor separate Laundry Room. Close to downtown Wolfeboro with access to Cotton Valley Rail Trail walks/jogging/biking/snowmobiles to Town~Extraordinary shopping and many restaurants to enjoy. It's nostalgic 4th Of July celebrations, fireworks over Wolfeboro Bay, Summer Concerts by the Town Docks at Cate Park, Winter Holiday Parade and Tree Lighting, New Years Fireworks,~Wolfeboro has so much to offer w/it's own Ski Slopes at Abenaki Ski Area~Pop Whalen Ice Arena~World Class Cross Country Ski Trails~Golf Course, Downtown Pickleball Courts, The Nick Recreational Area & on...What are you waiting for? Be in for Summer Fun!!!!",950000,3600,3,2,3,2
single_family,"Opportunity knocks at 27 W Chamberlain Road in Merrimack! This split-level home offers solid bones, a functional layout, and strong value-add potential for the right buyer. In need of cosmetic updates, it's the perfect opportunity for an owner-occupant looking to build instant equity or an investor seeking their next project. The home features a brand-new heating system giving peace of mind on a major improvement along with a one-car garage and a spacious driveway offering plenty of off-street parking. Set in an established neighborhood, this property is a blank canvas ready for your vision, whether that means modernizing the kitchen and baths, updating finishes, or fully transforming the space to maximize its potential. With the right updates, this home can truly shine-don't miss the chance to unlock the upside in a desirable Merrimack location. Open house Sunday 3/8/2026 from 11-12:30. Being SOLD AS-IS. Hot water tank currently not operational. Buyers to perform their own due diligence regarding financing options.",459900,1327,3,1,2,1
single_family,"Experience the charm and craftsmanship of this beautiful Coventry log home, privately sited and offering coveted water rights. Showcasing the artistry and enduring quality of true log construction, the residence blends rustic elegance with refined comfort. The main living level is thoughtfully designed for both relaxed living and sophisticated entertaining, highlighted by a striking cathedral ceiling and expansive windows that bathe the interior in natural light. The open-concept layout creates a seamless flow between living, dining, and gathering spaces, with two pellet stoves that enhance the home's warmth and character. Recent enhancements include new kitchen appliances, window blinds, and interior and exterior staining, preserving both aesthetic appeal and structural integrity. The beautifully renovated full bath offers a serene, spa-inspired experience featuring a soaking tub and separate shower. Three well-proportioned bedrooms provide flexibility for guests, a private office, or creative studio space. The finished lower level offers exceptional versatility, ideal as a recreation room or a guest suite, with its three-quarter bath and a dedicated laundry area for added convenience. Additional upgrades include a new roof, gutters, a well pump, a water filtration system, electrical service to the shed, and a whole-house generator for peace of mind. Set within the Hidden Lake Association, this property enjoys access to a cherished lakeside community known for its natural beauty and relaxing atmosphere. Here, everyday living feels like a year-round retreat!",599000,2197,3,2,1,2
single_family,"Set on 2.42 landscaped acres abutting conservation land and located on a cul-de-sac, this classic Colonial offers space and everyday comfort with convenient access to Route 101, regional commuter routes, and nearby town centers. With over 2,800 square feet, this 4-bedroom, 2.5-bath home features a functional layout designed for gathering and daily living. Hardwood floors and generous room sizes provide flexibility for entertaining, remote work, or hobbies. The main level includes a formal dining room and dedicated study, along with a well-equipped kitchen offering abundant cabinetry, slate countertops, a center island, and easy flow into adjoining living areas. A fire-lit living room and sun-filled three-season room add warmth and versatility. All four bedrooms are located on the second floor, including a primary suite with cathedral ceilings, three walk-in closets, and a private bath featuring a soaking tub. The additional bedrooms offer comfortable proportions and convenient access to the full hall bath. An attached two-car garage adds convenience, while the partially finished basement provides bonus space, room for a home gym, and storage, along with a dedicated laundry area with washer and dryer. A full walk-up attic offers substantial unfinished space for storage or possible future expansion, subject to local permitting. Multiple heating options include an oil-fired furnace, propane fireplace, pellet stove, and energy-efficient mini-splits that provide A/C and supplemental heat for year-round comfort. Outside, mature landscaping supported by an in-ground irrigation system surrounds a koi pond, two decks, and hot tub. Two storage sheds provide additional storage. Offering room to gather, work, relax, and grow, 5 Ridge Road provides flexible living within a well-established Newfields setting.",995000,2837,4,2,2,2
multi_family,"A rare and versatile multi-family opportunity offering income potential, multi-generational living, and exceptional workspace options. The main residence features two bedrooms, a spacious light-filled kitchen with beautiful wide-pine flooring, and distinctive architectural details throughout. A reclaimed stained-glass church door creates a striking entrance to the primary bedroom, adding unique character to the home. Attached to the main house is a separate two-bedroom in-law apartment, providing excellent potential for rental income, extended family, or an owner-occupied investment property. Car enthusiasts, hobbyists, and contractors will appreciate the impressive four-car garage with steel beam construction and second-floor storage, creating wide-open space for vehicles, equipment, or projects. The property also includes a stunning Post and Beam office built in 2003 in the style of a traditional barn, featuring a dramatic open interior, radiant heat, and a half bath. With its own entrance from Bohannon Bridge Road and ample parking, this flexible space is ideal for a home business, studio, workshop, or potential future accessory dwelling unit (ADU), subject to local approvals. Situated on two picturesque acres with stone walls, mature landscaping, and established perennials including wisteria, crape myrtle, hydrangea, and roses, this unique property offers a rare combination of living, income, and workspace possibilities.",675000,2304,4,2,2,4
single_family,"Situated on three acres in Wolfeboro, New Hampshire, this picturesque antique brick home blends timeless character with modern comfort. Offering three bedrooms, plus bonus areas to be used as an office, studio, or both and three baths. This property showcases classic New England craftsmanship and charm. The move-in ready home offers thoughtfully preserved architectural details like barn board ceilings, exposed brick and fireplaces. There are sunlit living spaces, cozy gathering rooms, and a beautifully updated kitchen with new floors that create an inviting ambience. The expansive grounds provide privacy, extensive perennial gardens, a tree house for the young at heart, and room to outdoor entertain. There is extra storage in the outbuilding, and a 2-car detached garage. This home is near Rt. 28, and Rt. 109 for easy travel north or south. It is also near Fernald Station, The Nick, Huggins Hospital and local beaches/lake access for all your activities. It's a rare opportunity to own a historic gem in one of the Lakes Region's most beloved towns. Showings begin at the first Open House, Friday, March 6th, 4-6 PM or Saturday, March 7th, 12-2 PM. Stop by and see for yourself!",575000,2017,3,2,2,2
single_family,"Welcome to this beautifully updated multi-generational home in Hooksett-offering rare space, versatility, and comfort in a peaceful, private setting. With 4 bedrooms and 2 updated bathrooms, this home is designed to accommodate extended family, guests, or hobbyists needing room to spread out. The chef's kitchen shines with modern updates, while new flooring throughout brings a fresh, cohesive feel to every room. Enjoy multiple inviting living spaces, including cozy fireplaces and a bright sunroom overlooking the flat, private backyard. Outdoor living is truly exceptional with a heated pool, perfect for relaxing or entertaining through extended seasons. Open house Thursday 3-430, Saturday 12-130. Sunday 1130-1. Practical upgrades add tremendous value: public water and sewer, a whole-house generator, and abundant space ideal for workshops, crafts, or home-based work. This property offers an incredible combination of flexibility, privacy, and comfort-an opportunity rarely found in today's market.",699000,3118,4,2,1,2
single_family,"This spacious Cape has wonderful natural light filtering in the home plus mountain views. Nice size living room for entertaining or watching your favorite television show. Plenty of room for the family with a enjoyable size eat in kitchen fully appliance. Either a first floor bedroom or an office, craft room etc. off the kitchen. Fantastic mud room with custom built in shelving and the laundry area. Second floor- 3 bedrooms, a sitting room off the master bedroom and additional storage area. The lower level offers an additional living area and 3/4 bathroom. Built in cabinets in the lower level. Why park your car outside when there is a 2 car attached garage. Wonderful deck to enjoy the views and large enough for a barbecue with friends and family. Shed for outside tools. The Town of Landaff is highly sought after because of its quaint and rural community.",392000,2269,3,2,2,2
